#Antibiotic_class	Aminocoumarin	Aminoglycoside	Beta-lactam	Bicyclomycin	Diaminopyrimidine	Elfamycin	Fluoroquinolone	Fosfomycin	Fusidic acid	Glycopeptide	MLS	Multidrug	Mupirocin	Nucleoside	Peptide	Phenicol	Pleuromutilin	Rifamycin	Sulfonamide	Tetracycline	Triclosan	All
M0dMF143406	1402.549067	308.1160307	364.6934652	0.804349446	152.585918	1.118182219	603.5316663	184.8938925	0.832195728	2525.853671	3483.441421	7943.972621	983.772509	3.926922812	1667.933387	150.7396616	431.904973	19.45569555	91.79532884	2926.862462	22.31471298	23271.09813
M0dMF143763	1375.318049	272.9928684	356.1867622	0.60214586	157.3660627	1.166675469	575.4019601	177.7190019	0.312456656	2338.658593	3276.968964	7755.789984	1053.210542	4.786179548	1645.791735	136.4013154	442.4441403	32.37824709	113.4950779	2826.818016	29.34472549	22573.1535
M0dMF150448	1517.240983	372.774813	346.8786047	0.85378053	106.6748624	1.13240428	711.7734928	190.6604715	0.32407124	2719.00949	3799.220024	8232.152473	917.1535786	5.444847587	1629.897352	194.8168221	416.19813	36.26132836	51.49341315	3202.901151	7.766999764	24460.62909
M0dMF160194	1322.754765	270.4050016	361.7259928	0.705601281	155.9981128	0.58095391	543.6543824	167.2805686	0.360869257	2308.662399	3158.904268	7442.291805	1014.527459	5.162482921	1632.575792	131.6940285	406.9101603	29.04806079	110.9729252	2740.09509	27.58151346	21831.89223
M0dMF160632	1307.895669	275.3046391	337.5129099	0.736023985	160.6328513	0.652225308	531.4504094	155.4940383	0.048286922	2252.743467	3101.905349	7277.741674	942.3175685	4.970369934	1539.398359	134.2965392	413.2451494	37.05609923	98.95501165	2702.396244	26.39573924	21301.14862
M0dMF160779	1255.507693	246.9406797	337.9460051	1.021473879	154.3571323	0.847271353	496.8097263	152.0456784	0.069081131	2133.378713	3036.027931	7146.413672	954.9451986	4.174932062	1593.245552	135.2690115	424.5238467	39.88837792	110.0241572	2595.393348	27.03602088	20845.8655
M0dMF161132	1377.90138	288.3515163	337.1953681	0.452592561	156.6721784	1.04324357	573.7539198	159.4799155	0.176496644	2391.031791	3295.800395	7511.782011	982.8696978	3.912878546	1610.786087	149.2835537	384.2222526	34.11196098	88.65549931	2824.07851	22.36193573	22193.92318
M0dMF161997	1357.002477	295.2298392	340.3258949	1.01092862	157.5677099	0.521173761	566.7502684	161.0905307	0.051514712	2389.761223	3382.634465	7432.244654	988.6366659	5.436008651	1641.462176	171.5597255	407.5318285	57.5752773	92.6351487	2752.31278	23.95469425	22225.29498
M0dMF163299	1320.657332	301.3228132	346.7754226	0.880124834	160.2135782	1.53328188	550.033887	156.1789949	0.272457101	2397.18362	3233.425281	7608.834832	983.4816614	3.362141979	1595.561083	149.1833305	449.0980269	26.45527435	97.23266274	2794.256385	24.67279365	22200.61498
M0dMF164661	1284.371226	266.8883328	355.5782629	1.035837798	168.7414779	0.927856626	501.9767146	163.7171905	0.261350135	2219.043043	3015.366387	7376.184267	1005.662992	5.78130863	1619.436888	128.4300934	432.4609561	39.17712027	112.0859242	2593.808002	29.88221937	21320.81745
