Treat	Values
Gansufeces	739
Gansurumen	751
Gansufeces	677
Gansurumen	750
Gansufeces	688
Gansurumen	695
Gansufeces	717
Gansurumen	741
Gansufeces	721
Gansurumen	758
Gansufeces	709
Gansurumen	691
Gansufeces	722
Gansurumen	689
Gansufeces	725
Gansurumen	738
Gansufeces	710
Gansurumen	738
Gansufeces	716
Gansurumen	747
Gansufeces	745
Gansurumen	740
Gansufeces	711
Gansurumen	701
Gansufeces	709
Gansurumen	717
Gansufeces	665
Gansurumen	743
Gansufeces	728
Gansurumen	764
Gansufeces	695
Gansurumen	713
Gansufeces	709
Gansurumen	665
Gansufeces	737
Gansurumen	724
Gansufeces	745
Gansurumen	701
Gansufeces	719
Gansurumen	685
Gansufeces	723
Gansurumen	739
Gansufeces	712
Gansurumen	688
Gansufeces	717
Gansurumen	680
Gansufeces	744
Gansurumen	700
Gansufeces	690
Gansurumen	761
Gansufeces	736
Gansurumen	785
Gansufeces	702
Gansurumen	689
Gansufeces	720
Gansurumen	687
Shannxifeces	741
Shannxifeces	733
Shannxifeces	731
Shannxifeces	747
Shannxifeces	722
Shannxifeces	715
Shannxifeces	741
Shannxifeces	749
Shannxifeces	724
Shannxifeces	761
Shannxifeces	716
Shannxifeces	700
Shannxifeces	718
Shannxifeces	712
Shannxifeces	715
Shannxifeces	746
Shannxifeces	743
Shannxifeces	754
Shannxifeces	749
Shannxifeces	733
Shannxifeces	714
Shannxifeces	719
Shannxifeces	724
Shannxirumen	709
Shannxirumen	682
Shannxirumen	717
Shannxirumen	888
Shannxirumen	761
Shannxirumen	679
Shannxirumen	676
Shannxirumen	816
Shannxirumen	690
Shannxirumen	779
Shannxirumen	733
Shannxirumen	740
Shannxirumen	743
Shannxirumen	688
Shannxirumen	643
Shannxirumen	704
Shannxirumen	739
Shannxirumen	711
Shannxirumen	722
Shannxirumen	838
Shannxirumen	865
Shannxirumen	672
