#ID	Gansifeces	Gansurumen	Shannxifeces	Shannxirumen
Saur_mupA_MUP	486.9068132	460.7214763	471.0326763	362.499707
Saur_mupB_MUP	391.5796426	354.0688305	416.8672432	288.6817827
efrB	314.0601258	290.2530469	334.5181351	242.5135672
optrA	311.3802886	240.8737763	376.4998406	234.9960165
patB	215.942139	197.7205698	215.9749272	167.7936344
otr(A)	190.2365875	170.573275	209.8268703	135.3844662
tet(35)	145.5683782	117.2796433	170.2178298	90.0619767
cdeA	118.961334	90.75912883	145.2487158	71.57901274
lsaC	110.4753478	98.36800096	118.9263707	79.56822664
lsaB	70.06590684	55.80347707	84.29987482	39.90027114
vanYB	56.11238271	49.52463616	54.36022168	26.74981476
macB	1804.022272	1789.489337	1817.600874	1585.773364
bcrA	701.8926116	709.7506454	653.5767744	652.336454
novA	622.2225385	678.5953878	569.0003643	568.9675815
oleC	373.6109969	361.2759849	374.4348685	313.2237437
patA	316.2553927	322.3144664	323.751677	286.4230332
arlR	281.2594652	282.4170265	247.52196	221.7268196
ugd	251.1185004	248.6956971	221.0686347	187.1324696
vanSG	91.10846506	93.99309643	72.75094919	87.46323736
mgrA	54.22160856	81.53312642	23.87247004	72.39642286
NmcR	39.25641458	47.47427889	23.03175779	39.56352995
vanXYN	35.69267788	42.47276162	18.48254138	27.42060989
AAC6_Ie_APH2_Ia	32.30134405	41.08752058	10.46791736	27.97320144
CatU	29.43485748	36.27224186	10.41503777	23.94669931
rpoB2	869.1454945	708.9175001	1097.265726	569.5233858
Sris_parY_AMU	687.9412502	628.485551	770.9872896	514.0833674
TaeA	310.1633915	271.4535307	420.9410785	284.462185
tetB(P)	235.3437809	203.6093246	300.4122126	188.1077244
baeS	217.5440751	201.5490425	238.2917704	168.1100354
bacA	172.1326498	119.9052993	228.0001122	99.58310657
tetT	159.0350494	117.5689058	215.8394278	109.6286572
Cstr_tetA	164.2274465	158.5945754	192.4598639	133.5606188
LlmA_23S_CLI	151.2382779	134.9182074	186.1595735	102.5483333
vanTG	122.9898179	96.79781742	162.9896809	87.1833136
Ctra_murA_FOF	128.6812827	108.7405395	156.7949278	102.0283615
carA	117.3202098	102.2817584	145.2397473	88.55122978
arnA	101.1211432	84.57480272	131.1744297	78.73141055
vmlR	77.32814248	59.57775867	111.8016351	56.90544265
lnuC	36.37151976	8.260418552	72.73791302	24.18866702
cfr(B)	30.25291859	18.46079261	46.53462142	14.22863981
msbA	562.0131673	550.6977867	567.1595584	607.0860607
tetA(58)	566.6371889	565.0072239	573.8463626	561.4657822
evgS	345.2188653	494.491851	164.7168441	538.172409
arlS	289.8765572	300.3568373	227.3782418	291.164112
vatB	148.6515326	186.0124398	88.07118324	206.7593972
tetW	174.746368	194.763297	132.1756662	203.3464569
smeS	180.2423008	197.8241902	172.9124757	187.1289202
tetQ	68.75657493	70.13227205	82.45186075	131.8377661
tetA(60)	103.5741819	89.73244274	129.9176347	107.0066736
cmeB	41.36379798	53.05605233	39.06552775	97.04746331
sul4	59.40104838	53.0476207	79.07225223	77.02213954
tet(W/N/W)	54.38563018	61.32926527	44.22291837	74.02690601
adeR	39.32570662	46.83932795	28.2527187	50.20202325
vatH	32.98092878	38.39108374	18.47705053	48.95661107
AAC(3)-Xa	20.21569152	30.38886329	6.531084066	47.89998446
vanXB	26.69303307	38.09780216	10.33102621	42.71389654
vanXM	27.84339507	39.15076008	12.25952863	36.52044148
cmeA	10.85193442	16.00232763	8.560158096	32.4670786
farA	12.15560108	21.35525044	5.699566651	28.01341826
