Treat	values
Gansufeces	4.719246
Gansurumen	4.631235
Gansufeces	4.687152
Gansurumen	4.762407
Gansufeces	4.675285
Gansurumen	4.640547
Gansufeces	4.690303
Gansurumen	4.566465
Gansufeces	4.731774
Gansurumen	4.621785
Gansufeces	4.703443
Gansurumen	4.730573
Gansufeces	4.709251
Gansurumen	4.650581
Gansufeces	4.706437
Gansurumen	4.629557
Gansufeces	4.64253
Gansurumen	4.655607
Gansufeces	4.660233
Gansurumen	4.638672
Gansufeces	4.730977
Gansurumen	4.560947
Gansufeces	4.725417
Gansurumen	4.667677
Gansufeces	4.680326
Gansurumen	4.520542
Gansufeces	4.786325
Gansurumen	4.545142
Gansufeces	4.702108
Gansurumen	4.603771
Gansufeces	4.729215
Gansurumen	4.622737
Gansufeces	4.684234
Gansurumen	4.532147
Gansufeces	4.702724
Gansurumen	4.535071
Gansufeces	4.743673
Gansurumen	4.576582
Gansufeces	4.69943
Gansurumen	4.574299
Gansufeces	4.658066
Gansurumen	4.738498
Gansufeces	4.744756
Gansurumen	4.704214
Gansufeces	4.63583
Gansurumen	4.701139
Gansufeces	4.718128
Gansurumen	4.723301
Gansufeces	4.699887
Gansurumen	4.663658
Gansufeces	4.713799
Gansurumen	4.640992
Gansufeces	4.67586
Gansurumen	4.615755
Gansufeces	4.701238
Gansurumen	4.728519
Shannxifeces	4.737428
Shannxifeces	4.743441
Shannxifeces	4.674726
Shannxifeces	4.744918
Shannxifeces	4.743535
Shannxifeces	4.750394
Shannxifeces	4.717089
Shannxifeces	4.723958
Shannxifeces	4.750329
Shannxifeces	4.774943
Shannxifeces	4.751114
Shannxifeces	4.731311
Shannxifeces	4.722324
Shannxifeces	4.738369
Shannxifeces	4.750069
Shannxifeces	4.727141
Shannxifeces	4.734354
Shannxifeces	4.734618
Shannxifeces	4.718092
Shannxifeces	4.748696
Shannxifeces	4.754414
Shannxifeces	4.728681
Shannxifeces	4.744958
Shannxirumen	4.691906
Shannxirumen	4.698403
Shannxirumen	4.730041
Shannxirumen	4.892509
Shannxirumen	4.584466
Shannxirumen	4.685853
Shannxirumen	4.753309
Shannxirumen	4.643311
Shannxirumen	4.726542
Shannxirumen	4.671726
Shannxirumen	4.547014
Shannxirumen	4.655727
Shannxirumen	4.698261
Shannxirumen	4.727444
Shannxirumen	4.761444
Shannxirumen	4.712083
Shannxirumen	4.746021
Shannxirumen	4.669215
Shannxirumen	4.618487
Shannxirumen	4.711784
Shannxirumen	4.737694
Shannxirumen	4.596588
