Function,Taxon,M56dG00206_1_1,M84dG00327_1_1,M56dG00204_1_1,M1dG00273_1_1,M35dG00201_1_1,M56dG00353_1_1,M35dG00253_1_1,M84dG00361_1_1,M56dG00253_1_1,M1dG00347_1_1,TFG00188,TFG00201,M56dG00183_1_1,M84dG00173_1_1,M1dG00126_1_1,M84dG00096_1_1,M84dG00351_1_1,TFG00230_1,M3dG00353_1_1,M56dG00173_1_1,TFG00206,M3dG00230_1_2,M35dG00126_1_1,M1dG00173_1_1,M1dG00239_1_1,TFG00239,M1dG00188_1_1,M3dG00361_1_1,TFG00251,M35dG00251_1_1,M1dG00200_1_1,M56dG00351_1_1,M35dG00327_1_1,M84dG00273_1_1,M1dG00251_1_1,M56dG00327_1_1,TFG00129_1,TFG00351_1,M56dG00187_1_1,TFG00334_1,M3dG00206_1_1,M35dG00353_1_1,M35dG00129_1_1,M3dG00204_1_1,M56dG00201_1_1,M56dG00188_1_1,M35dG00200_1_1,TFG00200,M3dG00096_1_1,M1dG00351_1_2,M84dG00353_1_1,TFG00173,TFG00361,M3dG00201_1_1,M1dG00253_1_1,M84dG00306_1_1,M84dG00230_1_1,M1dG00096_1_1,M1dG00187_1_1,M35dG00204_1_1,M35dG00187_1_1,M3dG00188_1_1,M3dG00183_1_1,TFG00187,M1dG00201_1_1,M3dG00251_1_1,M35dG00347_1_1,M35dG00273_1_1,M56dG00251_1_1,M56dG00361_1_1,M35dG00306_1_1,M3dG00334_1_1,M3dG00273_1_1,M3dG00239_1_1,M56dG00129_1_1,M56dG00126_1_1,M56dG00200_1_1,M35dG00361_1_1,M84dG00347_1_1,M3dG00327_1_1,M1dG00353_1_1,M3dG00306_1_1,M1dG00327_1_1,TFG00327,M84dG00239_1_1,TFG00353,TFG00183,M35dG00188_1_1,M35dG00173_1_1,TFG00273,TFG00126,TFG00096,M84dG00201_1_1,M84dG00200_1_1,TFG00253,M56dG00347_1_1,M1dG00204_1_1,M84dG00251_1_1,M1dG00306_1_1,M3dG00187_1_1,TFG00306,M3dG00347_1_1,M35dG00206_1_1,M35dG00334_1_1,M35dG00230_1_1,M84dG00204_1_1,M35dG00239_1_1,M56dG00230_1_1,M3dG00351_1_1,M56dG00239_1_1,M35dG00096_1_1,M84dG00253_1_1,M3dG00253_1_1,M84dG00183_1_1,M1dG00129_1_1,M1dG00361_1_1,M35dG00351_1_1,M3dG00200_1_1,M84dG00187_1_1,M84dG00188_1_1,M1dG00206_1_1,M84dG00206_1_1,M1dG00230_1_1,M35dG00183_1_1,TFG00204,TFG00347_1
GH,f__Alcaligenaceae,0.0770982195985,0,0,0,0.457516567451,0.329776513988,0,0.0997431496549,0,0,9.80865994403,0,0,0,0,6.33059387681,0,0,0,0.14767566822,349.184863144,0,0,0,0.0153755827346,24.6649725244,0,0,0,0,0,0,1.37654846488,0,0,0,0,5.11413212124,0,0.837764868287,0,0.180567284165,0.682981997237,0,0.222756828684,0.0652546657892,0.170183712538,0,0,0,0,0,27.3712531067,0,0,0.691996324754,0,0,0,0.374021948756,0,0.174554417964,0,19.3578972128,2.20497565059,0,0.611755384431,0.0491781287416,0.317853481072,0.0809460190326,0,0,0,0,0,0,0,0.100931579522,12.8493736608,0,0,0,1.73744072895,0,0,0,0,0.497382646544,0.0529944416309,0,0,17.9169905803,0,0.345296194583,0,0.519643491586,0,2.64869325466,0,0,0,0,0.146353277141,0.128112490402,0,0,0.245086678464,0,0,0.0578758966238,0,0,0,0,0,0,0,0,0,0,1.98915504274,0.0488329053327,0,0.276838019427,41.3163207456,0
GH,f__Bacteroidaceae,1024.46107384,2757.9078384,4552.18196637,859.431620255,10155.0908102,2777.47140763,5839.81827992,2278.84369063,3325.23820136,54.946506137,80.1083478874,126.568706844,4747.22735833,4125.02753606,341.946583261,4034.15542764,1262.81658125,58.0866318367,66.6763081387,527.970563974,0,6602.23377553,172.373834961,62.8219724236,5316.11011338,187.784319891,94.0547237088,1482.8251878,439.323401316,1230.97846543,27.3145617556,1441.54629793,2672.12800998,3966.3079528,24.5494827613,1609.23143211,0,130.876054467,5585.27924451,38.9399802978,34.4359018434,308.041254517,8821.62911856,7522.44535946,5314.40337106,5738.64477388,12341.8039537,105.495609391,18.5152452063,57.6804506984,3792.49723428,11.7207651291,35.0460962645,3428.0583751,14.5104617349,2663.62320519,4069.86062523,36.5746969488,314.021639432,5043.62351272,2409.95950946,47.6341259742,23.2605721738,87.9816707388,314.362774805,39.4911788736,2773.01553329,5254.23424255,2636.79464666,1635.4559265,1049.6593659,166.850052798,6066.06255875,57.4091902118,2385.17645201,2383.78332144,5984.16819136,765.095938112,2309.55789542,44.1303325131,49.3756466767,48.4462647508,527.424333982,50.3901490921,1700.19015612,1.53062092906,103.563272755,6778.59903642,123.993464033,28.8898125781,37.6613579454,152.755030716,5387.66898875,2763.12380458,49.6947520007,2554.94792244,43.8036547836,3776.8718183,31.1644121723,776.287825902,138.87781639,9053.6587378,5436.41002221,1155.7456286,10844.1211717,2590.75933455,5484.51534636,4287.76315736,4071.05790402,720.370535522,2300.33901524,3678.09136789,54.6376200713,4084.94828661,27.3184365716,24.0366771473,235.165642863,1437.08728698,3933.69603876,427.037544116,99.0943886274,2995.0344948,28.1067852653,1335.73876126,189.317627325,274.27937113
GH,f__Clostridiaceae,209.796875465,505.304452907,279.802250236,224.225078601,226.755130194,313.687665754,89.5573197833,323.86020783,226.56007141,629.533907339,23.9871353907,34.4813599744,310.96981904,228.323322436,730.222053353,644.03703184,590.536129207,19.4894605621,2803.54430485,166.553316773,0,105.508772604,222.816443027,439.497195285,439.926581438,74.2124614527,319.418833474,216.186943997,21.8609481949,190.892119194,718.77660302,365.220090452,316.28816493,127.204298791,3.94429580579,287.750353367,0,18.6655145769,230.116692491,15.0450003938,142.287357542,90.8010031037,113.603748343,1369.69104689,287.969686011,268.769434283,210.309901632,31.9616326025,159.337218065,3.83558324731,461.270586426,19.9458178381,34.4929713398,3163.98554601,0.292035406261,231.458852643,238.302710994,1062.79392074,91.0680329216,122.526134452,266.969446754,248.394583754,739.790020486,32.3826353575,199.925425297,138.215988145,344.664845878,283.78616371,251.400342802,303.779665539,152.755299512,247.755810249,616.411206537,5.04972274464,181.884725359,283.463031004,425.726043219,75.0204269333,641.50072223,1235.73309573,0.178533504489,1019.54915597,149.700755094,2.70767092127,210.969280035,0,6.7993953315,529.943648626,162.413359188,24.7357610026,0,0,427.621203689,332.937872654,12.7654714991,316.873487456,1425.58402372,221.012086854,2479.49338865,73.8155079969,0,1332.63591588,325.22734123,101.497100646,78.4477470319,191.76823594,188.762446066,208.695640992,89.4431365933,559.730647834,233.127393963,288.234829279,282.063357972,135.841144209,838.805889235,17.8669357996,172.690039877,1973.19195418,373.455400995,145.708289689,14.9818316043,395.79070115,253.497890062,404.962703689,106.710693389,97.88665938
GH,f__Enterobacteriaceae,5.32658276502,21.9456028059,37.303304707,239.182210824,17.3031869619,6.18859188847,3.97054232956,19.0868112644,41.5810565866,7492.90788589,3.82776973425,143.656140469,51.8080097478,50.2472832084,6025.07518626,70.2385157138,6.43684071352,7.14305941263,3009.42986494,3.32954386029,126.998739804,3370.73118611,7.35911846411,6507.73324606,61.4542306636,7.10143489572,1967.65890637,4740.01671795,89.9634827473,8.12441360129,4395.09805715,10.8281561389,19.3121555854,84.6657561381,3055.97386441,21.5268579691,76.0663076773,0.53379532657,38.6468190805,17.9382726612,5252.1035819,13.2259818283,55.9042366735,358.775049629,60.9990858928,66.226753247,49.5889704152,61.3117691997,554.887763537,8119.53602508,29.346890573,5.33127858829,0,1210.68393193,5665.59844316,24.0000904388,31.2423562644,6299.45595578,379.114931064,78.9355973572,20.4421498201,5427.26060789,3503.5160835,10.1869820738,155.898457449,6013.69396843,14.1527200814,24.92706797,13.8550156363,32.5185359926,3.37827233454,6607.58910432,2973.38565425,7667.42785292,24.8305977078,23.7041524704,62.9264151407,6.13304559169,11.4450141806,6250.42173092,3350.08806091,5660.22488029,956.832789412,292.994997889,18.7402238054,11.5294417167,214.509349457,31.4725658654,17.2670872649,190.669911094,3.26153983408,6.44458415069,96.3467346739,16.0570788046,0,23.9787491026,4913.91876821,35.5184890746,5608.91708955,2261.21015458,133.215899575,2518.63257279,3.08419333662,9.58014110575,90.7689668773,17.1581660481,23.1969555464,41.5340637792,3843.66483964,5.65017835952,25.504363169,17.5595061868,4392.20005551,33.3356263007,5290.03821961,3995.01250668,1.86547579302,2034.17174825,25.6761827853,46.6378440478,4751.10953168,10.435185453,4334.69937119,13.6942786537,68.9036687604,212.447496591
GH,f__Lachnospiraceae,3120.99094169,1487.38937042,2797.2913449,2009.27727585,1208.74588567,2506.69942093,61.5980609952,1352.75541747,2301.21545607,0.87493345132,24.2155994078,58.977372672,2465.4187496,1963.8722298,24.0270259136,1734.69488003,2279.49891182,6.3141383879,1881.38271452,3667.05507862,155.31620706,3553.82962372,6218.36010124,3.01115124656,1772.01839815,246.456970794,70.9878209367,505.821122357,138.929251221,3166.65140507,17.2870870323,3647.62927091,4486.29154345,1455.83264543,28.6840526924,3807.07069932,13.9007328179,78.8072985692,1778.41958819,57.7773956858,2344.41947309,1433.18860183,1108.18158544,2000.5792786,1379.4060125,2543.69484673,1616.26028944,200.356932867,191.257246103,0.107860870246,2901.83577459,50.5025835354,72.7208307106,871.332830507,1.13212985413,1852.22171868,1554.54656731,7.72610862089,641.320106125,882.390694608,2523.06061777,128.891928992,294.797971081,51.6418760384,649.749914859,933.672778438,1455.00990605,3158.78524361,3781.37726745,2108.30514596,3285.98768611,405.294286918,447.495236325,5.01907724051,2779.1332159,2950.88586178,1625.39401126,1423.3381301,1281.31594839,709.411644181,10.5611264373,1488.21766537,1394.20436852,93.6038420988,2291.81873381,3.7256162997,53.7228510477,1361.54348157,4420.45051229,79.8260143264,38.3238236754,44.733495869,1868.66261038,2446.96857508,59.3720703882,2698.04967691,30.4416055169,1076.37446806,13.8085877798,269.964818977,84.42389392,684.853857706,2986.60662522,1718.46418278,208.194875028,1584.62883797,1412.67481075,1571.66409848,3461.75761697,5763.88071116,3949.76658184,885.984437721,924.193866042,763.412504968,8.59635145099,19.3680319132,3256.06556052,3735.38131974,1638.80263884,5029.90447178,137.654804925,1816.88472519,26.0738053481,2942.5267287,201.156932886,223.744886135
GH,f__Moraxellaceae,1.47078808718,2.07800875305,0.46340515585,20.1415007494,0,4.637741266,0,5.94198940025,0.575885586616,97.9667803173,34.3254651629,31.3908926718,0.921551256434,1.14912576067,64.0651295444,4.32838809824,2.19002758104,117.661235772,75.9021062457,13.9878659269,176.180579049,28.9745988456,0.0841271070475,36.7884790021,0.997296971866,27.5599894445,20.9494202757,34.0645916551,415.323336837,0.140891482797,10.5900073404,1.21745277264,0,0.67408059566,0.0438735706723,2.45985790661,0,549.981495163,0.155443415426,566.707769349,19.1399486401,0,0.931582970656,3.83329002572,16.1923577791,0.327442323013,0.0495693700717,28.5904319229,7.83144577021,23.5073944532,1.1289053449,25.3947890647,4.21140003941,14.0225638314,6.07429175159,1.49757475792,1.76958495495,45.2986080588,10.862840897,0.734507600133,0.526403565378,113.237765639,22.7316098032,148.723631326,1.53965590699,15.7070166678,0.0745862662893,0.147827113182,0,1.35821153761,0,25.8936473911,32.9041911489,190.050210304,0.184948330701,0,1.2928727047,0.170906135232,1.96314472163,146.556207235,12.0509860596,119.469884263,18.0719815847,7.40028857054,1.68021864273,0,42.3004574021,2.95900208741,0.618598667567,68.511822822,0,81.2400461206,20.3121042927,1.94707260559,16.8462369783,1.3406075564,47.8802712106,7.35891541567,35.1415035616,10.9648720012,17.8425036992,53.897084438,0,0.0923019370157,57.8274153908,6.87809652581,0.215983313566,14.6332052228,62.4216419169,2.72143409821,0,4.36466008584,20.7189419333,0.771040400488,12.4894501774,10.6443463132,0,25.4249292539,1.24582065819,1.63530004887,15.5117595076,17.267572203,26.8059327111,0.137257892456,488.838266886,136.617130892
GH,f__Oscillospiraceae,1226.49823368,1685.34048993,874.997871875,1529.70700114,1477.98050355,2164.52636644,652.930049648,3003.62430217,2640.74650507,0.410562685361,178.418089573,244.689385611,2156.50907299,3581.08229265,1.32828139204,2679.33907699,2530.4023766,55.208083965,240.500561573,722.83386565,168.560603932,93.7689202109,620.326573797,0.563941893737,822.01306325,468.344431674,19.9251066543,4.49185179531,513.236933571,791.464764289,0.485346646059,2270.73629677,653.469575616,3919.3153802,21.8676772015,1420.57357592,2.93318215423,157.844036488,1600.29987441,36.5906084416,44.462247537,2816.19777342,2332.83398938,151.426053919,1098.70577372,1527.23248903,1152.29339075,234.608334946,14.8617456244,0.0509009082194,1328.78073129,161.501519449,175.343360625,45.8621107922,2.00422587458,3246.16674811,3175.04577987,0.915443848516,483.996665346,939.340068277,2707.93306949,5.06633255066,7.49784388539,185.986865009,478.237129182,58.842222814,2327.97225718,1222.07376024,1075.21141486,1811.4916111,922.016734687,175.859965111,131.922660937,0.023057174653,2426.52460719,1028.00040939,1699.15825862,1304.24599691,1787.70322847,75.4727483923,9.24239434267,85.0177146698,873.475914525,128.726105663,4629.5764556,0,74.4752000414,969.042670568,236.457433333,27.0349377139,60.5819046283,133.751151595,2192.63608313,2694.47809234,121.139385952,1787.27276366,19.9523386774,1675.26392917,1.18640234122,7.4730173839,335.46013092,161.363297436,2628.93610431,825.153381093,432.657804401,2694.98931705,560.765325235,1338.5686829,14.4377821902,1606.72215824,1417.77535208,1521.27416383,20.3504433278,909.705137256,0.776126802506,1.16917961589,703.561416098,8.96610566115,2543.18394046,1248.70464785,89.4663898195,2710.43334768,0.741264021533,959.910954615,339.38506915,79.7043441765
GH,f__Prevotellaceae,387.529534653,2083.13126428,307.831423465,6028.1589299,1746.98870343,906.272272547,271.225469312,342.720021999,1218.40177147,0.361617305278,209.854378367,42.1694522034,254.834444039,779.122065378,0.814961467722,1446.49525856,785.905882555,0,0.214692911285,80.3865905227,48.891426716,1.24617830756,32.0828654323,0.31769269159,72.7606794089,19.9209649754,256.644525984,2.35307548324,186.830118125,358.560764298,0.440299381554,833.157557065,151.43203549,463.986727928,88.1908605772,854.790221863,8.57478154666,36.806739267,2849.60356314,17.0746796536,0.164186247099,7.03053701754,501.241308805,11.1619122615,4332.47790454,819.737261265,1206.78284037,150.585874158,4.85462764132,0.0203736000679,1501.6038464,21.6232876374,58.0281815271,0.756505768684,1.15101329184,567.926153168,844.08879209,2.45113882704,2041.2053931,6534.81810737,283.193186425,1.37162279151,2.19480635618,14.4651050294,2163.66912347,0.184771002331,651.677189997,527.762648394,1236.07440182,904.304416576,21.2169520953,627.145621062,1.2050343227,0.22136295465,881.082489157,907.62680301,1677.39903035,922.186471555,963.770516703,0.103483577204,17.4054821272,0.177621684154,3461.90139315,28.9590674993,323.443331615,0.983192314099,26.3565420876,775.941057957,38.5081064222,18.9325801378,0,99.2973119256,746.240649257,1737.71646767,0,720.873518832,87.86505002,4544.49496374,3.93602260068,0.886571900135,0,12.4962684523,321.830922664,251.97151981,2263.97290098,981.713344509,4138.75727277,747.781907713,4.38135675627,247.595105057,647.691204616,1775.08466143,0.0811798245221,1100.66251574,1.00642750288,0.649834543328,339.00669109,0.267225348061,555.908769611,610.531142036,412.397698953,1783.13104051,1.19545511672,81.5005950412,68.5047086581,51.6999276239
GH,f__unclassified_c__Clostridia,97.8055578078,457.209327677,147.759748617,811.782276561,3.45803703657,85.7524439793,2.80371284983,701.7395623,113.65571345,0.0289952727668,18.0817369003,76.2393970108,32.2524220294,401.15599344,0.181197599353,121.67962077,80.6128621994,51.4750719048,0.176702515573,150.131292246,130.606290428,0.122863259245,97.7812319756,0,1.64073258309,151.556948279,16.309515843,0.0725630928109,150.649613902,14.4213403848,0.112007983052,120.175675326,13.5961111386,273.324337588,11.9514641694,68.4479475846,0,8.01013782966,30.1745977667,14.5447907419,0.0443336818771,27.9204455809,15.7389608925,0.181611530877,33.487211177,56.3180019001,15.5156704466,94.9185733912,0.0983101062612,0.0122067467112,99.3166564152,55.1739516872,9.15435783215,0,0.670414709334,310.787779749,156.782413808,0.154244336216,273.903323512,1.77481239681,38.1626555454,0.0261392815188,0.0266699546688,74.2572540218,218.363687964,0.143175323674,53.8974543038,669.531056082,59.5254578584,55.0085602589,14.6820178295,92.3230096365,0.153121155925,0,23.384422669,37.7593861965,70.5498888729,11.7225598063,35.8726184071,0,1.22809303097,0.033662884032,465.83897043,85.9077031657,558.817838812,0,101.000977993,2.31158205046,6.82514619641,48.0055397722,10.7710364277,23.9032795617,667.816266263,408.984266239,17.8716600987,99.0493484461,8.63736813064,70.8755700836,0.705167613515,0.0439142801342,78.4291681106,0.312954517565,33.4685972038,6.85497194934,38.6773370491,257.356125968,21.7419828058,42.6537983995,0.0282937131728,197.320939682,8.89739768104,166.193621177,0.172030568997,61.2104176352,0.0102837715521,0.115902195305,9.55303168935,0,218.72937153,2.11211095672,26.5379377093,382.614305,0.064331813213,1.24854576656,84.9952073694,21.0850309002
GH,f__unclassified_o__Bacteroidales,123.749901366,60.9079316806,10.9089461995,1396.83393197,14.5211969351,92.3162217576,5.65888144974,36.4659239287,69.1886498933,0.0185594741633,46.5189514674,19.4534285492,5.54127674711,57.0671371194,0.264476210699,249.808651895,332.789117617,4.28583564758,0,225.311261018,311.290489148,0.149636098742,1.30493458799,0.0565131096909,0.455715716162,136.075925511,10.9562607557,0.0517831552555,140.48422246,8.91304215681,0.268673493574,303.695049994,4.08372649619,38.9516803996,23.4326222857,31.6983962612,0,75.9175746566,24.2036271337,17.7657758546,0.0720180334422,1.11623222868,22.7321989592,0,95.1565337853,277.954847738,6.20625659387,114.375831056,0.204648684845,0,58.6931999066,30.0486470656,37.4473412193,0,0.214112730665,55.0295213581,119.130954812,0.438577528458,436.791797845,1.53612327089,0.772884835679,0.190166561397,0,85.6685542709,470.117384027,0.0252275077992,16.9109185457,12.0031081124,18.2892959894,209.566146798,1.15199937465,155.100039767,0,0.0145684713614,180.292928185,22.3097619351,139.691231179,0.805915167813,271.618882447,0.0211075640028,1.7083016548,0,857.547876246,57.7041895543,53.6596337375,0.202920277761,47.9560420603,0.362477668818,2.99548747491,9.64132502715,38.0823711972,13.4886118553,19.0704810038,1976.30713523,4.25515716636,211.080708141,17.9199140287,57.7841326977,0.722011056513,0.280602611202,132.874636251,0,0.641172916875,0.277840621385,18.1518904311,385.367963359,1.58261340571,13.2893619904,0.102340663002,26.7453052935,0.607141286212,132.851882205,0,1072.45925421,0.141034487766,0.190443195906,6.66970981767,0.23279088504,2109.08010766,2.42679947989,55.3569499435,2525.32895904,0.196018174278,7.94832179856,103.173516702,8.81437389546
