#ID	d0	d1	d3	d35	d56	d84
AA1	96.91371129	177.1095964	137.6646323	0.644333974	0.635067149	0.92292921
AA12	23.30524073	1.787007492	2.135311297	0.011342581	0.015350021	0.01437881
AA3	186.5696529	258.8416304	275.8237947	148.5492383	146.1974537	135.2426602
AA3_1	54.10708731	26.06553043	16.90210786	19.99774946	35.92199186	33.02282004
AA3_2	98.68941923	77.25173504	72.28901989	2.653427789	5.720468805	8.349443328
AA4	100.7068143	89.68480317	73.32444999	52.04788356	26.28557848	22.87067633
AA7	108.0945738	63.75804061	16.13186934	44.93252308	40.58868677	22.69812913
CE1	597.099297	1199.211776	1153.203611	925.0370004	1163.306578	1467.556522
CE14	115.7639844	86.71721981	125.7559649	25.91390273	45.68700157	50.91527148
GH10	27.90159456	32.26833579	4.61483787	53.83041416	35.69083463	60.84644114
GH13_16	37.29860422	7.654464866	4.089509008	3.964808021	7.538524689	1.702708815
GH13_3	27.4374565	3.179220158	13.58061249	12.34098301	9.899349167	8.179234197
GH13_30	32.12015882	1.077566209	28.11483193	34.06531402	2.470900521	2.446510807
GH15	40.9734555	42.93653304	45.49017176	4.824755857	8.74306814	10.26738899
GH33	46.84740836	38.46462354	76.68831889	85.34289849	84.19568743	106.2240399
GH56	14.45496452	0.306752591	0.579284777	0.019658782	0	0
GH74	87.47728947	5.088340342	1.426632236	14.48304617	25.13386293	24.12302454
GH9	25.44684726	19.2889448	1.017208269	19.40813453	49.19941038	88.98056629
GT1	37.49251768	30.35665822	30.18769302	50.8208397	51.03122645	70.76509555
GT20	65.03816001	59.01902406	58.87432018	4.597919601	13.43029387	10.33032833
GT39	36.7409785	3.599258162	0.379593086	7.694633685	15.78120168	16.26814773
GT6	68.10993155	7.28996893	0.417554506	21.77462109	14.03666292	5.207708511
AA10	2.054028831	115.6780268	16.13962635	0.091416205	0.071793811	0.162892585
AA2	29.16349257	57.59293424	58.53465025	0.360454934	0.241183136	0.20985873
CE11	33.91012411	110.7914803	113.1978885	56.20671007	74.44422527	128.1659265
CE12	20.77821741	103.895509	62.93284614	102.133399	81.83778167	124.6821121
CE9	159.6843839	631.9683246	595.8199025	465.0099986	418.8968584	365.9408434
GH1	125.8822536	1085.800554	948.8934734	560.5142224	575.7896046	320.8325224
GH104	7.09908761	112.1495265	96.15686133	8.590968923	6.40273521	4.397738994
GH105	18.1106868	112.4782592	97.7200855	96.2941271	119.9596717	140.7532143
GH127	18.28861982	94.1641688	113.5782261	85.30268814	82.87493879	122.1078465
GH13_19	3.888717388	156.7246014	161.5185276	7.230021572	15.16869942	28.62061391
GH13_29	11.69273258	128.9397091	95.56126793	57.89696558	78.17649304	25.24862694
GH13_5	9.402405909	65.2840424	58.88655199	37.83503021	65.71872167	38.65469448
GH24	35.07447098	390.020084	316.0339044	116.0839831	146.4987707	196.3093198
GH31	54.65887511	253.8111902	266.6898653	238.8526254	249.3253995	270.0183365
GH53	10.22098382	75.73105506	49.95440102	30.95161559	78.99307941	105.4765031
GH65	28.94749175	81.27625963	61.41232213	16.17611119	31.35140746	33.55707292
GH73	56.76075605	397.5351305	329.7188027	210.4127427	257.9542502	252.3979083
GT35	99.5144207	453.6667848	432.2117363	523.8302224	585.4333037	511.9341301
GT56	4.403264531	99.80901039	101.1533405	0.571623748	3.023221965	15.38328916
GT9	57.80461557	523.3202558	513.4825951	85.94475347	77.5832309	110.4048787
GH101	2.481582711	18.06313624	55.63133738	21.88728421	5.82362704	5.267396423
GH109	180.6857858	402.2805483	553.8123358	457.132106	450.3874309	448.1868232
GH13_11	55.54182105	131.1600263	159.6382683	89.08825969	59.44790262	45.25264473
