ARO_accession,ARO_name,ARO_description,"AMR Gene Family","Drug Class","Antibiotic class","Resistance Mechanism",Total_reads,Gene_Count
ARO:3000005,vanD,"VanD is a D-Ala-D-Ala ligase homolog similar to VanA, and can synthesize D-Ala-D-Lac, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity. It is associated with both vancomycin and teicoplanin resistance.","glycopeptide resistance gene cluster;van ligase","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",86600,782
ARO:3000010,vanA,"VanA is a D-Ala-D-Ala ligase homolog that synthesizes D-Ala-D-Lac, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity. It has been isolated from VREs. It is associated with both vancomycin and teicoplanin resistance.","glycopeptide resistance gene cluster;van ligase","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",48390,455
ARO:3000013,vanB,"VanB is a D-Ala-D-Ala ligase homolog similar to VanA, and can synthesize D-Ala-D-Lac, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity. It has been isolated from VREs. It is associated with vancomycin resistance, but not teicoplanin resistance.","glycopeptide resistance gene cluster;van ligase","glycopeptide antibiotic",Glycopeptide,"antibiotic target alteration",35332,374
ARO:3000024,patA,"PatA is an ABC transporter of Streptococcus pneumoniae that interacts with PatB to confer fluoroquinolone resistance.","ATP-binding cassette (ABC) antibiotic efflux pump","fluoroquinolone antibiotic",Fluoroquinolone,"antibiotic efflux",2006460,14382
ARO:3000025,patB,"PatB is an ABC transporter of Streptococcus pneumoniae that interacts with PatA to confer fluoroquinolone resistance..","ATP-binding cassette (ABC) antibiotic efflux pump","fluoroquinolone antibiotic",Fluoroquinolone,"antibiotic efflux",1688774,9445
ARO:3000026,mepA,"MepA is an efflux protein regulated by MepR and part of the MepRAB cluster. Its presence in Staphylococcus aureus led to multidrug resistance, while it has also been shown to decrease tigecycline susceptibility.","multidrug and toxic compound extrusion (MATE) transporter","glycylcycline;tetracycline antibiotic",Multidrug,"antibiotic efflux",335722,1206
ARO:3000027,emrA,"EmrA is a membrane fusion protein, providing an efflux pathway with EmrB and TolC between the inner and outer membranes of E. coli, a Gram-negative bacterium.","major facilitator superfamily (MFS) antibiotic efflux pump","fluoroquinolone antibiotic",Fluoroquinolone,"antibiotic efflux",6814,54
ARO:3000074,emrB,"emrB is a translocase in the emrB -TolC efflux protein in E. coli. It recognizes substrates including carbonyl cyanide m-chlorophenylhydrazone (CCCP), nalidixic acid, and thioloactomycin.","major facilitator superfamily (MFS) antibiotic efflux pump","fluoroquinolone antibiotic",Fluoroquinolone,"antibiotic efflux",10396,156
ARO:3000090,Bla1,"Bla1 is a chromosomal-encoded beta-lactamase, found in Bacillus anthracis, which hydrolyzes penicillins.","class A Bacillus anthracis Bla beta-lactamase",penam,Beta-lactam,"antibiotic inactivation",10,1
ARO:3000118,vgaB,"Vga(B) is an ABC-F protein expressed in staphylococci that confers resistance to streptogramin A antibiotics and related compounds. It is associated with plasmid DNA.","ABC-F ATP-binding cassette ribosomal protection protein","lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic",Multidrug,"antibiotic target protection",146984,1147
ARO:3000124,mecI,"mecI acts as a repressor of transcription of the mecA/mecR1/mecI operon.","methicillin resistant PBP2",carbapenem;cephalosporin;cephamycin;monobactam;penam,Multidrug,"antibiotic target replacement",41614,363
ARO:3000149,FosA,"An enzyme that confers resistance to fosfomycin in Serratia marcescens by breaking the epoxide ring of the molecule. It depends on the cofactors Manganese (II) and Potassium and uses Glutathione (GSH) as the nucleophilic molecule. In Pseudomonas aeruginosa, FosA catalyzes the conjugation of glutathione to carbon-1 of fosfomycin, rendering it ineffective as an antibacterial drug.","fosfomycin thiol transferase",fosfomycin,Fosfomycin,"antibiotic inactivation",12,2
ARO:3000165,tet(A),"TetA is a tetracycline efflux pump found in many species of Gram-negative bacteria.","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic",Tetracycline,"antibiotic efflux",186,19
